Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Maramures, Anul 2015, Mii hectare, 259.6
Total, Maramures, Anul 2016, Mii hectare, 259.6
Total, Maramures, Anul 2017, Mii hectare, 259.8
Total, Maramures, Anul 2018, Mii hectare, 260
Total, Maramures, Anul 2019, Mii hectare, 260
Total, Satu Mare, Anul 1990, Mii hectare, 68.6
Total, Satu Mare, Anul 1991, Mii hectare, 68.6
Total, Satu Mare, Anul 1992, Mii hectare, 68.5
Total, Satu Mare, Anul 1993, Mii hectare, 68.5
Total, Satu Mare, Anul 1994, Mii hectare, 68
Total, Satu Mare, Anul 1995, Mii hectare, 68
Total, Satu Mare, Anul 1996, Mii hectare, 68
Total, Satu Mare, Anul 1997, Mii hectare, 68
Total, Satu Mare, Anul 1998, Mii hectare, 67.9
Total, Satu Mare, Anul 1999, Mii hectare, 67.9
Total, Satu Mare, Anul 2000, Mii hectare, 68
Total, Satu Mare, Anul 2001, Mii hectare, 68
Total, Satu Mare, Anul 2002, Mii hectare, 68
Total, Satu Mare, Anul 2003, Mii hectare, 67.8
Total, Satu Mare, Anul 2004, Mii hectare, 67.8
Total, Satu Mare, Anul 2005, Mii hectare, 68
Total, Satu Mare, Anul 2006, Mii hectare, 70.2
Total, Satu Mare, Anul 2007, Mii hectare, 70.2
Total, Satu Mare, Anul 2008, Mii hectare, 72.5
Total, Satu Mare, Anul 2009, Mii hectare, 72.6
Total, Satu Mare, Anul 2010, Mii hectare, 72.5
Total, Satu Mare, Anul 2011, Mii hectare, 72.6
Total, Satu Mare, Anul 2012, Mii hectare, 72.6
Total, Satu Mare, Anul 2013, Mii hectare, 72.6
Total, Satu Mare, Anul 2014, Mii hectare, 72.6
Total, Satu Mare, Anul 2015, Mii hectare, 72.6
Total, Satu Mare, Anul 2016, Mii hectare, 72.5
Total, Satu Mare, Anul 2017, Mii hectare, 72.5
Total, Satu Mare, Anul 2018, Mii hectare, 72.6
Total, Satu Mare, Anul 2019, Mii hectare, 72.6
Total, Salaj, Anul 1990, Mii hectare, 95
Total, Salaj, Anul 1991, Mii hectare, 95.1
Total, Salaj, Anul 1992, Mii hectare, 95.2
Total, Salaj, Anul 1993, Mii hectare, 95.2
Total, Salaj, Anul 1994, Mii hectare, 95.2
Total, Salaj, Anul 1995, Mii hectare, 95.5
