Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Rasinoase, MACROREGIUNEA TREI, Anul 2019, Mii hectare, 132.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1990, Mii hectare, 129.5
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1991, Mii hectare, 129.8
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1992, Mii hectare, 129.8
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1993, Mii hectare, 129.3
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1994, Mii hectare, 128.6
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1995, Mii hectare, 127.4
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1996, Mii hectare, 128.4
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1997, Mii hectare, 128.5
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1998, Mii hectare, 128.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 1999, Mii hectare, 128.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2000, Mii hectare, 127.4
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2001, Mii hectare, 127.4
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2002, Mii hectare, 127.3
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2003, Mii hectare, 126
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2004, Mii hectare, 132.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2005, Mii hectare, 132.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2006, Mii hectare, 132.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2007, Mii hectare, 126.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2008, Mii hectare, 125.8
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2009, Mii hectare, 124
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2010, Mii hectare, 124.3
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2011, Mii hectare, 124.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2012, Mii hectare, 124.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2013, Mii hectare, 124.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2014, Mii hectare, 124.5
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2015, Mii hectare, 131.3
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2016, Mii hectare, 132.2
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2017, Mii hectare, 132.1
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2018, Mii hectare, 132.4
Rasinoase, Regiunea SUD-MUNTENIA, Anul 2019, Mii hectare, 132.1
Rasinoase, Arges, Anul 1990, Mii hectare, 79.7
Rasinoase, Arges, Anul 1991, Mii hectare, 79.8
Rasinoase, Arges, Anul 1992, Mii hectare, 79.8
Rasinoase, Arges, Anul 1993, Mii hectare, 79.9
Rasinoase, Arges, Anul 1994, Mii hectare, 79.3
Rasinoase, Arges, Anul 1995, Mii hectare, 79.4
Rasinoase, Arges, Anul 1996, Mii hectare, 79.1
Rasinoase, Arges, Anul 1997, Mii hectare, 79.2
Rasinoase, Arges, Anul 1998, Mii hectare, 79.1
Rasinoase, Arges, Anul 1999, Mii hectare, 79.1
Rasinoase, Arges, Anul 2000, Mii hectare, 78.7
Rasinoase, Arges, Anul 2001, Mii hectare, 78.7
Rasinoase, Arges, Anul 2002, Mii hectare, 78.8
Rasinoase, Arges, Anul 2003, Mii hectare, 78.7
Rasinoase, Arges, Anul 2004, Mii hectare, 84.8
Rasinoase, Arges, Anul 2005, Mii hectare, 84.8
Rasinoase, Arges, Anul 2006, Mii hectare, 84.8
Rasinoase, Arges, Anul 2007, Mii hectare, 78.7
Rasinoase, Arges, Anul 2008, Mii hectare, 78.7
Rasinoase, Arges, Anul 2009, Mii hectare, 76.8
Rasinoase, Arges, Anul 2010, Mii hectare, 77
Rasinoase, Arges, Anul 2011, Mii hectare, 77.1
Rasinoase, Arges, Anul 2012, Mii hectare, 76.8
Rasinoase, Arges, Anul 2013, Mii hectare, 76.8
Rasinoase, Arges, Anul 2014, Mii hectare, 76.8
Rasinoase, Arges, Anul 2015, Mii hectare, 83.4
Rasinoase, Arges, Anul 2016, Mii hectare, 84.3
Rasinoase, Arges, Anul 2017, Mii hectare, 84.3
Rasinoase, Arges, Anul 2018, Mii hectare, 84.6
Rasinoase, Arges, Anul 2019, Mii hectare, 84.2
Rasinoase, Calarasi, Anul 1990, Mii hectare, .1
Rasinoase, Calarasi, Anul 1991, Mii hectare, .1
Rasinoase, Calarasi, Anul 1992, Mii hectare, .1
Rasinoase, Calarasi, Anul 1993, Mii hectare, .1
Rasinoase, Calarasi, Anul 1994, Mii hectare, .1
Rasinoase, Calarasi, Anul 1995, Mii hectare, .1
Rasinoase, Calarasi, Anul 1996, Mii hectare, .1
Rasinoase, Calarasi, Anul 1997, Mii hectare, .1
Rasinoase, Calarasi, Anul 1998, Mii hectare, .1
Rasinoase, Calarasi, Anul 1999, Mii hectare, .1
Rasinoase, Calarasi, Anul 2000, Mii hectare, .1
Rasinoase, Calarasi, Anul 2001, Mii hectare, .1
Rasinoase, Calarasi, Anul 2002, Mii hectare, .1
Rasinoase, Calarasi, Anul 2003, Mii hectare, .1
Rasinoase, Calarasi, Anul 2004, Mii hectare, .1
Rasinoase, Calarasi, Anul 2005, Mii hectare, .1
Rasinoase, Calarasi, Anul 2006, Mii hectare, .1
Rasinoase, Calarasi, Anul 2007, Mii hectare, .1
Rasinoase, Calarasi, Anul 2008, Mii hectare, .1
Rasinoase, Calarasi, Anul 2009, Mii hectare, .1
Rasinoase, Calarasi, Anul 2010, Mii hectare, .1
Rasinoase, Calarasi, Anul 2012, Mii hectare, .1
Rasinoase, Calarasi, Anul 2013, Mii hectare, .1
Rasinoase, Calarasi, Anul 2014, Mii hectare, .1
Rasinoase, Calarasi, Anul 2015, Mii hectare, .1
Rasinoase, Calarasi, Anul 2016, Mii hectare, .1
Rasinoase, Calarasi, Anul 2017, Mii hectare, .1
Rasinoase, Calarasi, Anul 2018, Mii hectare, .1
Rasinoase, Dambovita, Anul 1990, Mii hectare, 15.3
Rasinoase, Dambovita, Anul 1991, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1992, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1993, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1994, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1995, Mii hectare, 14.1
Rasinoase, Dambovita, Anul 1996, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1997, Mii hectare, 15.4
Rasinoase, Dambovita, Anul 1998, Mii hectare, 15.2
Rasinoase, Dambovita, Anul 1999, Mii hectare, 15.1
Rasinoase, Dambovita, Anul 2000, Mii hectare, 15
Rasinoase, Dambovita, Anul 2001, Mii hectare, 15
Rasinoase, Dambovita, Anul 2002, Mii hectare, 15
Rasinoase, Dambovita, Anul 2003, Mii hectare, 14.4
Rasinoase, Dambovita, Anul 2004, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2005, Mii hectare, 14.4
Rasinoase, Dambovita, Anul 2006, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2007, Mii hectare, 14.6
Rasinoase, Dambovita, Anul 2008, Mii hectare, 14.4
Rasinoase, Dambovita, Anul 2009, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2010, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2011, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2012, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2013, Mii hectare, 14.5
Rasinoase, Dambovita, Anul 2014, Mii hectare, 14.4
Rasinoase, Dambovita, Anul 2015, Mii hectare, 14.7
Rasinoase, Dambovita, Anul 2016, Mii hectare, 14.7
Rasinoase, Dambovita, Anul 2017, Mii hectare, 14.7
Rasinoase, Dambovita, Anul 2018, Mii hectare, 14.7
Rasinoase, Dambovita, Anul 2019, Mii hectare, 14.7
Rasinoase, Giurgiu, Anul 1990, Mii hectare, .4
Rasinoase, Giurgiu, Anul 1991, Mii hectare, .4
Rasinoase, Giurgiu, Anul 1992, Mii hectare, .4
Rasinoase, Giurgiu, Anul 1993, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1994, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1995, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1996, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1997, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1998, Mii hectare, .3
Rasinoase, Giurgiu, Anul 1999, Mii hectare, .3
Rasinoase, Giurgiu, Anul 2000, Mii hectare, .3
Rasinoase, Giurgiu, Anul 2001, Mii hectare, .3
Rasinoase, Giurgiu, Anul 2002, Mii hectare, .3
Rasinoase, Giurgiu, Anul 2003, Mii hectare, .3
Rasinoase, Giurgiu, Anul 2004, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2005, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2006, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2007, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2008, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2009, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2010, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2011, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2012, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2013, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2014, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2015, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2016, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2017, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2018, Mii hectare, .2
Rasinoase, Giurgiu, Anul 2019, Mii hectare, .2
Rasinoase, Ialomita, Anul 1990, Mii hectare, .1
Rasinoase, Ialomita, Anul 1991, Mii hectare, .1
Rasinoase, Ialomita, Anul 1992, Mii hectare, .1
Rasinoase, Ialomita, Anul 1997, Mii hectare, .1
Rasinoase, Ialomita, Anul 1998, Mii hectare, .1
Rasinoase, Ialomita, Anul 1999, Mii hectare, .1
Rasinoase, Ialomita, Anul 2001, Mii hectare, .1
Rasinoase, Ialomita, Anul 2013, Mii hectare, .1
Rasinoase, Ialomita, Anul 2014, Mii hectare, .1
Rasinoase, Ialomita, Anul 2015, Mii hectare, .1
Rasinoase, Prahova, Anul 1990, Mii hectare, 33.6
Rasinoase, Prahova, Anul 1991, Mii hectare, 33.7
Rasinoase, Prahova, Anul 1992, Mii hectare, 33.7
Rasinoase, Prahova, Anul 1993, Mii hectare, 33.3
Rasinoase, Prahova, Anul 1994, Mii hectare, 33.2
Rasinoase, Prahova, Anul 1995, Mii hectare, 33.2
Rasinoase, Prahova, Anul 1996, Mii hectare, 33.2
Rasinoase, Prahova, Anul 1997, Mii hectare, 33.1
Rasinoase, Prahova, Anul 1998, Mii hectare, 33.1
Rasinoase, Prahova, Anul 1999, Mii hectare, 33.1
Rasinoase, Prahova, Anul 2000, Mii hectare, 33
Rasinoase, Prahova, Anul 2001, Mii hectare, 32.9
Rasinoase, Prahova, Anul 2002, Mii hectare, 32.8
Rasinoase, Prahova, Anul 2003, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2004, Mii hectare, 32.3
Rasinoase, Prahova, Anul 2005, Mii hectare, 32.4
Rasinoase, Prahova, Anul 2006, Mii hectare, 32.3
Rasinoase, Prahova, Anul 2007, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2008, Mii hectare, 32.1
Rasinoase, Prahova, Anul 2009, Mii hectare, 32.1
Rasinoase, Prahova, Anul 2010, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2011, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2012, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2013, Mii hectare, 32.2
Rasinoase, Prahova, Anul 2014, Mii hectare, 32.7
Rasinoase, Prahova, Anul 2015, Mii hectare, 32.6
Rasinoase, Prahova, Anul 2016, Mii hectare, 32.7
Rasinoase, Prahova, Anul 2017, Mii hectare, 32.6
Rasinoase, Prahova, Anul 2018, Mii hectare, 32.6
Rasinoase, Prahova, Anul 2019, Mii hectare, 32.8
Rasinoase, Teleorman, Anul 1990, Mii hectare, .3
Rasinoase, Teleorman, Anul 1991, Mii hectare, .3
Rasinoase, Teleorman, Anul 1992, Mii hectare, .3
Rasinoase, Teleorman, Anul 1993, Mii hectare, .3
Rasinoase, Teleorman, Anul 1994, Mii hectare, .3
Rasinoase, Teleorman, Anul 1995, Mii hectare, .3
Rasinoase, Teleorman, Anul 1996, Mii hectare, .3
Rasinoase, Teleorman, Anul 1997, Mii hectare, .3
Rasinoase, Teleorman, Anul 1998, Mii hectare, .3
Rasinoase, Teleorman, Anul 1999, Mii hectare, .3
Rasinoase, Teleorman, Anul 2000, Mii hectare, .3
Rasinoase, Teleorman, Anul 2001, Mii hectare, .3
Rasinoase, Teleorman, Anul 2002, Mii hectare, .3
Rasinoase, Teleorman, Anul 2003, Mii hectare, .3
Rasinoase, Teleorman, Anul 2004, Mii hectare, .3
Rasinoase, Teleorman, Anul 2005, Mii hectare, .3
Rasinoase, Teleorman, Anul 2006, Mii hectare, .2
Rasinoase, Teleorman, Anul 2007, Mii hectare, .3
Rasinoase, Teleorman, Anul 2008, Mii hectare, .3
Rasinoase, Teleorman, Anul 2009, Mii hectare, .3
Rasinoase, Teleorman, Anul 2010, Mii hectare, .3
Rasinoase, Teleorman, Anul 2011, Mii hectare, .2
Rasinoase, Teleorman, Anul 2012, Mii hectare, .3
Rasinoase, Teleorman, Anul 2013, Mii hectare, .2
Rasinoase, Teleorman, Anul 2014, Mii hectare, .2
Rasinoase, Teleorman, Anul 2015, Mii hectare, .2
Rasinoase, Teleorman, Anul 2016, Mii hectare, .2
Rasinoase, Teleorman, Anul 2017, Mii hectare, .2
Rasinoase, Teleorman, Anul 2018, Mii hectare, .2
Rasinoase, Teleorman, Anul 2019, Mii hectare, .2
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1990, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1991, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1992, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1993, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1994, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1995, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1996, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1997, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1998, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 1999, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2000, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2001, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2002, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2003, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2004, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2005, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2006, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2007, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2014, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2015, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2016, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2017, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2018, Mii hectare, .1
Rasinoase, Regiunea BUCURESTI - ILFOV, Anul 2019, Mii hectare, .1
Rasinoase, Ilfov, Anul 1990, Mii hectare, .1
Rasinoase, Ilfov, Anul 1991, Mii hectare, .1
Rasinoase, Ilfov, Anul 1992, Mii hectare, .1
Rasinoase, Ilfov, Anul 1993, Mii hectare, .1
Rasinoase, Ilfov, Anul 1994, Mii hectare, .1
Rasinoase, Ilfov, Anul 1995, Mii hectare, .1
Rasinoase, Ilfov, Anul 1996, Mii hectare, .1
Rasinoase, Ilfov, Anul 1997, Mii hectare, .1
Rasinoase, Ilfov, Anul 1998, Mii hectare, .1
Rasinoase, Ilfov, Anul 1999, Mii hectare, .1
Rasinoase, Ilfov, Anul 2000, Mii hectare, .1
Rasinoase, Ilfov, Anul 2001, Mii hectare, .1
Rasinoase, Ilfov, Anul 2002, Mii hectare, .1
Rasinoase, Ilfov, Anul 2003, Mii hectare, .1
Rasinoase, Ilfov, Anul 2004, Mii hectare, .1
Rasinoase, Ilfov, Anul 2005, Mii hectare, .1
Rasinoase, Ilfov, Anul 2006, Mii hectare, .1
Rasinoase, Ilfov, Anul 2007, Mii hectare, .1
Rasinoase, Ilfov, Anul 2008, Mii hectare, .1
Rasinoase, Ilfov, Anul 2009, Mii hectare, .1
Rasinoase, Ilfov, Anul 2010, Mii hectare, .1
Rasinoase, Ilfov, Anul 2011, Mii hectare, .1
Rasinoase, Ilfov, Anul 2012, Mii hectare, .1
Rasinoase, Ilfov, Anul 2013, Mii hectare, .1
Rasinoase, Ilfov, Anul 2014, Mii hectare, .1
Rasinoase, Ilfov, Anul 2015, Mii hectare, .1
Rasinoase, Ilfov, Anul 2016, Mii hectare, .1
Rasinoase, Ilfov, Anul 2017, Mii hectare, .1
Rasinoase, Ilfov, Anul 2018, Mii hectare, .1
Rasinoase, Ilfov, Anul 2019, Mii hectare, .1
Rasinoase, MACROREGIUNEA PATRU, Anul 1990, Mii hectare, 294.9
Rasinoase, MACROREGIUNEA PATRU, Anul 1991, Mii hectare, 296.5
Rasinoase, MACROREGIUNEA PATRU, Anul 1992, Mii hectare, 294.3
Rasinoase, MACROREGIUNEA PATRU, Anul 1993, Mii hectare, 286.3
Rasinoase, MACROREGIUNEA PATRU, Anul 1994, Mii hectare, 284.3
Rasinoase, MACROREGIUNEA PATRU, Anul 1995, Mii hectare, 282.1
Rasinoase, MACROREGIUNEA PATRU, Anul 1996, Mii hectare, 274.5
Rasinoase, MACROREGIUNEA PATRU, Anul 1997, Mii hectare, 272.8
Rasinoase, MACROREGIUNEA PATRU, Anul 1998, Mii hectare, 268.8
Rasinoase, MACROREGIUNEA PATRU, Anul 1999, Mii hectare, 268.9
Rasinoase, MACROREGIUNEA PATRU, Anul 2000, Mii hectare, 267.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2001, Mii hectare, 265.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2002, Mii hectare, 266.9
Rasinoase, MACROREGIUNEA PATRU, Anul 2003, Mii hectare, 265.5
Rasinoase, MACROREGIUNEA PATRU, Anul 2004, Mii hectare, 265.2
Rasinoase, MACROREGIUNEA PATRU, Anul 2005, Mii hectare, 276.2
Rasinoase, MACROREGIUNEA PATRU, Anul 2006, Mii hectare, 271.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2007, Mii hectare, 274.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2008, Mii hectare, 275.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2009, Mii hectare, 278.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2010, Mii hectare, 278
Rasinoase, MACROREGIUNEA PATRU, Anul 2011, Mii hectare, 276.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2012, Mii hectare, 274.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2013, Mii hectare, 273.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2014, Mii hectare, 271.4
Rasinoase, MACROREGIUNEA PATRU, Anul 2015, Mii hectare, 271
Rasinoase, MACROREGIUNEA PATRU, Anul 2016, Mii hectare, 270.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2017, Mii hectare, 268.8
Rasinoase, MACROREGIUNEA PATRU, Anul 2018, Mii hectare, 263.6
Rasinoase, MACROREGIUNEA PATRU, Anul 2019, Mii hectare, 262.4
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1990, Mii hectare, 123.7
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1991, Mii hectare, 124.6
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1992, Mii hectare, 122.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1993, Mii hectare, 118.6
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1994, Mii hectare, 118
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1995, Mii hectare, 116.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1996, Mii hectare, 117
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1997, Mii hectare, 116.3
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1998, Mii hectare, 115.6
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 1999, Mii hectare, 115.6
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2000, Mii hectare, 114.1
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2001, Mii hectare, 113.5
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2002, Mii hectare, 112.2
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2003, Mii hectare, 110.8
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2004, Mii hectare, 110.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2005, Mii hectare, 122.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2006, Mii hectare, 123.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2007, Mii hectare, 124.4
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii hectare, 125.1
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii hectare, 127
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii hectare, 127.1
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii hectare, 126.8
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii hectare, 126.9
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii hectare, 126.5
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2014, Mii hectare, 127.8
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2015, Mii hectare, 128.4
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2016, Mii hectare, 127.8
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2017, Mii hectare, 126.8
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2018, Mii hectare, 122.5
Rasinoase, Regiunea SUD-VEST OLTENIA, Anul 2019, Mii hectare, 122.4
Rasinoase, Dolj, Anul 1990, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1991, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1992, Mii hectare, 1
Rasinoase, Dolj, Anul 1993, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1994, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1995, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1996, Mii hectare, 1.1
Rasinoase, Dolj, Anul 1997, Mii hectare, .9
Rasinoase, Dolj, Anul 1998, Mii hectare, .9
Rasinoase, Dolj, Anul 1999, Mii hectare, .8
Rasinoase, Dolj, Anul 2000, Mii hectare, .8
Rasinoase, Dolj, Anul 2001, Mii hectare, .8
Rasinoase, Dolj, Anul 2002, Mii hectare, .8
Rasinoase, Dolj, Anul 2003, Mii hectare, .8
Rasinoase, Dolj, Anul 2004, Mii hectare, .8
Rasinoase, Dolj, Anul 2005, Mii hectare, .8
Rasinoase, Dolj, Anul 2006, Mii hectare, .8
Rasinoase, Dolj, Anul 2007, Mii hectare, .8
Rasinoase, Dolj, Anul 2008, Mii hectare, .8
Rasinoase, Dolj, Anul 2009, Mii hectare, .7
Rasinoase, Dolj, Anul 2010, Mii hectare, .8
Rasinoase, Dolj, Anul 2011, Mii hectare, .8
Rasinoase, Dolj, Anul 2012, Mii hectare, .8
Rasinoase, Dolj, Anul 2013, Mii hectare, .8
Rasinoase, Dolj, Anul 2014, Mii hectare, .8
Rasinoase, Dolj, Anul 2015, Mii hectare, .8
Rasinoase, Dolj, Anul 2016, Mii hectare, .8
Rasinoase, Dolj, Anul 2017, Mii hectare, .7
Rasinoase, Dolj, Anul 2018, Mii hectare, .7
Rasinoase, Dolj, Anul 2019, Mii hectare, .7
Rasinoase, Gorj, Anul 1990, Mii hectare, 31.1
Rasinoase, Gorj, Anul 1991, Mii hectare, 31.3
Rasinoase, Gorj, Anul 1992, Mii hectare, 30.1
Rasinoase, Gorj, Anul 1993, Mii hectare, 27.9
Rasinoase, Gorj, Anul 1994, Mii hectare, 26.6
Rasinoase, Gorj, Anul 1995, Mii hectare, 25.9
Rasinoase, Gorj, Anul 1996, Mii hectare, 26
Rasinoase, Gorj, Anul 1997, Mii hectare, 25.8
Rasinoase, Gorj, Anul 1998, Mii hectare, 25.8
Rasinoase, Gorj, Anul 1999, Mii hectare, 26
Rasinoase, Gorj, Anul 2000, Mii hectare, 26
Rasinoase, Gorj, Anul 2001, Mii hectare, 25.7
Rasinoase, Gorj, Anul 2002, Mii hectare, 25.2
Rasinoase, Gorj, Anul 2003, Mii hectare, 24.6
Rasinoase, Gorj, Anul 2004, Mii hectare, 24.5
Rasinoase, Gorj, Anul 2005, Mii hectare, 23.4
Rasinoase, Gorj, Anul 2006, Mii hectare, 25
Rasinoase, Gorj, Anul 2007, Mii hectare, 24.9
Rasinoase, Gorj, Anul 2008, Mii hectare, 25.9
Rasinoase, Gorj, Anul 2009, Mii hectare, 26
Rasinoase, Gorj, Anul 2010, Mii hectare, 25.9
Rasinoase, Gorj, Anul 2011, Mii hectare, 26
Rasinoase, Gorj, Anul 2012, Mii hectare, 25.9
Rasinoase, Gorj, Anul 2013, Mii hectare, 25.6
Rasinoase, Gorj, Anul 2014, Mii hectare, 25.6
Rasinoase, Gorj, Anul 2015, Mii hectare, 26.3
Rasinoase, Gorj, Anul 2016, Mii hectare, 26.5
Rasinoase, Gorj, Anul 2017, Mii hectare, 26.3
Rasinoase, Gorj, Anul 2018, Mii hectare, 26.1
Rasinoase, Gorj, Anul 2019, Mii hectare, 26.1
Rasinoase, Mehedinti, Anul 1990, Mii hectare, 9.1
Rasinoase, Mehedinti, Anul 1991, Mii hectare, 9.1
Rasinoase, Mehedinti, Anul 1992, Mii hectare, 8.8
Rasinoase, Mehedinti, Anul 1993, Mii hectare, 8.4
Rasinoase, Mehedinti, Anul 1994, Mii hectare, 8.4
Rasinoase, Mehedinti, Anul 1995, Mii hectare, 8.4
Rasinoase, Mehedinti, Anul 1996, Mii hectare, 8.4
Rasinoase, Mehedinti, Anul 1997, Mii hectare, 8.4
Rasinoase, Mehedinti, Anul 1998, Mii hectare, 8.4
